dbid;expid;resid;ppid;Handedness;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;trialnum;id;type;stimulus_soundfile;feedback_soundfile;expected_value;value;rt;correct
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;1;9;NONWORD;postest1.wav;;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;2;18;NONWORD;negtest2.wav;;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;3;13;NONWORD;postest5.wav;;0;0;1118;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;4;14;NONWORD;postest6.wav;;0;0;628;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;5;1;NONWORD;test1.wav;;0;0;623;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;6;6;NONWORD;test6.wav;;0;0;787;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;7;8;NONWORD;test8.wav;;0;0;802;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;8;3;NONWORD;test3.wav;;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;9;12;NONWORD;postest4.wav;;0;0;488;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;10;19;NONWORD;negtest3.wav;;0;0;325;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;11;20;NONWORD;negtest4.wav;;0;0;667;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;12;24;NONWORD;negtest8.wav;;0;-9999;-9999;0
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;13;2;NONWORD;test2.wav;;0;0;2881;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;14;21;NONWORD;negtest5.wav;;0;0;936;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;15;5;NONWORD;test5.wav;;0;0;107;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;16;7;NONWORD;test7.wav;;0;0;380;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;17;15;NONWORD;postest7.wav;;0;0;554;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;18;11;NONWORD;postest3.wav;;0;0;659;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;19;10;NONWORD;postest2.wav;;0;0;479;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;20;22;NONWORD;negtest6.wav;;0;0;556;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;21;17;NONWORD;negtest1.wav;;0;0;399;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;22;4;NONWORD;test4.wav;;0;0;316;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;23;16;NONWORD;postest8.wav;;0;0;552;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;24;23;NONWORD;negtest7.wav;;0;0;758;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;25;9;NONWORD;postest1.wav;;0;0;390;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;26;18;NONWORD;negtest2.wav;;0;0;375;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;27;3;NONWORD;test3.wav;;0;0;457;1
01;conceptformation;JD;test1;right;GRP2;4;2015-07-13;07:21;0;0;2;0;1;28;24;NONWORD;negtest8.wav;;0;1;1262;0
